계약년월,번호,계약일,시군구일련번호,번지,지목,용도지역,도로조건,계약면적,거래금액,지분구분,해제사유발생일,거래구분,거래유형,시군구명,법정동코드
201909,38014,01,3000,산8*,임야,보전녹지지역,8m미만,4935.0000,149284.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38015,01,3000,산8*,임야,보전녹지지역,-,264.0000,7996.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38016,01,3000,5**,임야,보전녹지지역,8m미만,216.0000,6534.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38017,01,3000,산8*,임야,보전녹지지역,8m미만,6580.0000,199045.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38018,01,3000,5**,임야,보전녹지지역,8m미만,938.0000,28364.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38019,01,3000,5**,임야,보전녹지지역,8m미만,1108.0000,33527.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38020,01,3000,5**,임야,보전녹지지역,8m미만,108.0000,3267.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38021,01,3000,산8*,임야,보전녹지지역,8m미만,3290.0000,99523.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38022,01,3000,산8*,임야,보전녹지지역,-,132.0000,3998.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38023,01,3000,5**,임야,보전녹지지역,8m미만,554.0000,16763.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38024,01,3000,5**,임야,보전녹지지역,8m미만,469.0000,14182.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38025,02,3000,산6*,임야,개발제한구역,-,991.0000,7670.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38026,06,3000,산6*,임야,개발제한구역,-,165.0000,1295.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38027,07,3000,9**,대,제2종전용주거지역,-,3.0000,1190.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38028,07,3000,9**,대,제2종전용주거지역,8m미만,3.0000,1360.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38029,07,3000,9**,대,제2종전용주거지역,8m미만,8.0000,3520.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38030,07,3000,9**,대,제2종전용주거지역,8m미만,270.0000,212430.0000,,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38031,07,3000,9**,도로,제2종전용주거지역,12m미만,31.0000,4620.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38032,07,3000,9**,도로,제2종전용주거지역,25m미만,39.0000,5810.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38033,11,3000,산6*,임야,개발제한구역,-,330.0000,2540.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38034,16,3000,산6*,임야,개발제한구역,-,33.0000,259.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38035,16,3000,산6*,임야,개발제한구역,-,99.0000,762.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38036,16,3000,산6*,임야,개발제한구역,-,495.0000,3585.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201909,38037,16,3000,1***,대,제1종전용주거지역,12m미만,240.0000,170000.0000,,-,-,,경기도 성남시분당구 운중동,4113511500
