계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
202105,1627,06,2089,9*,일반,대왕판교로,보전녹지,자동차 관련시설,8m미만,1995.2700,1495.0000,1047800.0000,,,2019,-,,경기도 성남시분당구 금곡동,4113511100
202106,1816,16,2085,6*,일반,내정로107번길,근린상업,자동차 관련시설,25m이상,2815.8600,999.8000,850000.0000,,,1995,-,,경기도 성남시분당구 정자동,4113510300
202106,1817,30,2086,2**,일반,새마을로,자연녹지,위험물 저장 및 처리,25m미만,276.2800,826.0000,580833.0000,,,,-,,경기도 성남시분당구 서현동,4113510500
202106,1818,04,2088,1**,집합,판교로,근린상업,공장,25m이상,296.7000,192.5300,81000.0000,6,,,-,,경기도 성남시분당구 야탑동,4113510700
202106,1819,24,3024,7**,일반,동판교로,제3종일반주거,위험물 저장 및 처리,25m미만,515.7200,832.4000,881404.0000,,,,-,,경기도 성남시분당구 삼평동,4113510900
202106,1820,24,3085,5**,일반,동판교로,제1종일반주거,위험물 저장 및 처리,25m이상,712.3900,958.6000,1021935.0000,,,,-,,경기도 성남시분당구 백현동,4113511000
202108,1497,06,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,96.7600,54700.0000,4,,,-,,경기도 성남시분당구 야탑동,4113510700
202108,1498,05,2088,1**,집합,판교로,근린상업,창고시설,25m이상,54.9500,35.6700,12000.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
202108,1499,03,2088,1**,집합,판교로,근린상업,창고시설,25m이상,56.1200,36.7100,11645.0000,,,,20210901,,경기도 성남시분당구 야탑동,4113510700
202108,1500,02,2088,1**,집합,판교로,근린상업,창고시설,25m이상,77.3500,47.5000,11151.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
202109,1468,16,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,92.0900,50000.0000,5,,,-,,경기도 성남시분당구 야탑동,4113510700
202111,1606,05,2086,2**,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,51.3100,7.4700,1500.0000,,지분,,-,,경기도 성남시분당구 서현동,4113510500
202111,1607,17,2086,2**,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,51.3100,7.4700,1500.0000,,지분,,-,,경기도 성남시분당구 서현동,4113510500
202111,1608,19,2086,2**,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,51.3100,7.4700,1500.0000,,지분,,20231011,,경기도 성남시분당구 서현동,4113510500
202111,1609,04,2086,2**,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,51.3100,7.4700,1500.0000,,지분,,20231011,,경기도 성남시분당구 서현동,4113510500
202111,1610,03,2086,2**,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,51.3100,7.4700,1500.0000,,지분,,-,,경기도 성남시분당구 서현동,4113510500
202111,1611,16,2088,1**,집합,판교로,근린상업,공장,25m이상,150.0100,92.0900,51250.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
202111,1612,20,2089,1**,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,31.5600,5.0100,500.0000,,지분,,-,,경기도 성남시분당구 금곡동,4113511100
202111,1613,20,2089,1**,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,31.5600,5.0100,500.0000,,지분,,-,,경기도 성남시분당구 금곡동,4113511100
202111,1614,20,2089,1**,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,31.5600,5.0100,500.0000,,지분,,-,,경기도 성남시분당구 금곡동,4113511100
202112,1783,17,2088,1**,집합,판교로,근린상업,공장,25m이상,298.2000,183.0700,103100.0000,8,,,-,,경기도 성남시분당구 야탑동,4113510700
202112,1784,21,2088,1**,집합,판교로,근린상업,공장,25m이상,447.3000,274.5900,155598.0000,3,,,-,,경기도 성남시분당구 야탑동,4113510700
202112,1785,22,2088,1**,집합,판교로,근린상업,창고시설,25m이상,54.9500,35.9500,10200.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
202112,1786,23,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,91.5300,50000.0000,,,,20220112,,경기도 성남시분당구 야탑동,4113510700
202112,1787,23,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,91.5300,50000.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
