"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"20","경기도 성남시 분당구 운중동","9**","단독","12m미만","229.66","241.00","202510","15","230,000","개인","개인","2012","운중로14번길","-","중개거래","경기 성남시 분당구"
"21","경기도 성남시 분당구 율동","1**","단독","8m미만","308.83","460.00","202510","15","170,000","개인","개인","2004","새마을로233번길","-","직거래","-"
"22","경기도 성남시 분당구 판교동","5**","다가구","12m미만","378.87","265.10","202510","14","263,000","개인","개인","2010","서판교로58번길","-","중개거래","경기 성남시 분당구"
"23","경기도 성남시 분당구 구미동","2**","단독","8m미만","381.74","441.10","202510","14","283,000","개인","개인","2008","구미로144번길","-","중개거래","서울 서초구"
"24","경기도 성남시 분당구 운중동","9**","단독","12m미만","179.91","223.40","202510","11","212,000","개인","개인","2012","운중로14번길","20260106","중개거래","경기 성남시 분당구"
"25","경기도 성남시 분당구 정자동","2**","다가구","8m미만","424.80","212.60","202510","09","180,000","개인","개인","2000","불곡남로29번길","-","중개거래","경기 성남시 분당구"
"26","경기도 성남시 분당구 서현동","3**","다가구","8m미만","448.00","227.40","202510","03","162,000","개인","개인","1995","불정로426번길","-","중개거래","경기 성남시 분당구"
"27","경기도 성남시 분당구 정자동","2**","다가구","12m미만","418.84","211.10","202509","29","153,500","개인","개인","1997","불곡남로21번길","-","중개거래","경기 성남시 분당구"
"28","경기도 성남시 분당구 야탑동","2**","단독","12m미만","453.94","231.10","202509","28","189,500","개인","개인","2001","매화로56번길","-","중개거래","경기 성남시 분당구"
"29","경기도 성남시 분당구 이매동","5*","다가구","8m미만","207.48","363.66","202509","18","104,000","개인","개인","2001","방아로46번길","-","중개거래","경기 성남시 분당구"
"30","경기도 성남시 분당구 수내동","1**","다가구","12m미만","378.47","197.70","202509","15","161,000","개인","개인","1996","발이봉북로35번길","-","중개거래","경기 성남시 수정구, 경기 용인시 기흥구"
"31","경기도 성남시 분당구 수내동","1**","다가구","8m미만","432.57","219.90","202509","10","128,000","개인","개인","1997","발이봉북로35번길","-","중개거래","경기 성남시 분당구"
"32","경기도 성남시 분당구 수내동","9*","다가구","8m미만","406.72","204.70","202509","08","176,000","개인","개인","2000","발이봉로7번길","-","중개거래","경기 성남시 분당구"
"33","경기도 성남시 분당구 정자동","2**","다가구","8m미만","452.34","226.60","202509","06","155,000","개인","개인","1997","불곡남로17번길","-","중개거래","경기 성남시 분당구"
"34","경기도 성남시 분당구 분당동","1**","다가구","12m미만","499.68","251.80","202509","01","210,000","개인","개인","2000","선지봉로","-","중개거래","경기 성남시 분당구"
"35","경기도 성남시 분당구 정자동","5*","다가구","8m미만","433.30","227.20","202508","30","196,000","개인","개인","1995","내정로113번길","-","중개거래","경기 성남시 분당구"
"36","경기도 성남시 분당구 대장동","5**","단독","8m미만","182.93","706.00","202508","29","226,000","법인","개인","2001","벌장투리로24번길","-","직거래","-"
"37","경기도 성남시 분당구 수내동","1**","다가구","8m미만","332.10","224.00","202508","20","163,000","개인","개인","1998","발이봉북로24번길","-","중개거래","경기 성남시 분당구"
"38","경기도 성남시 분당구 운중동","9**","다가구","25m미만","607.14","408.20","202508","20","470,000","법인","개인","2010","산운로160번길","-","직거래","-"
"39","경기도 성남시 분당구 분당동","1**","다가구","25m미만","371.14","196.10","202507","23","167,500","개인","개인","2001","장안로16번길","-","중개거래","경기 성남시 분당구"
"40","경기도 성남시 분당구 정자동","2**","다가구","12m미만","431.72","216.30","202507","17","154,000","개인","개인","1997","불곡북로21번길","-","중개거래","경기 성남시 분당구"
"41","경기도 성남시 분당구 구미동","5*","다가구","8m미만","452.64","228.20","202507","07","183,500","개인","개인","2000","미금일로80번길","-","중개거래","경기 성남시 분당구"
"42","경기도 성남시 분당구 수내동","1**","다가구","8m미만","409.92","206.40","202506","30","80,000","개인","개인","1996","발이봉남로35번길","-","직거래","-"
"43","경기도 성남시 분당구 야탑동","3**","다가구","25m미만","457.60","231.10","202506","30","142,000","개인","개인","1994","벌말로39번길","-","직거래","-"
"44","경기도 성남시 분당구 대장동","5**","단독","8m미만","210.57","218.00","202506","23","70,000","개인","개인","2004","벌장투리로24번길","-","직거래","-"
"45","경기도 성남시 분당구 야탑동","3**","단독","12m미만","438.12","226.80","202506","20","184,000","개인","개인","1995","야탑로111번길","-","중개거래","경기 성남시 분당구"
"46","경기도 성남시 분당구 판교동","6**","단독","12m미만","200.48","224.90","202506","17","227,000","개인","개인","2014","서판교로6번길","-","중개거래","경기 성남시 분당구"
"47","경기도 성남시 분당구 정자동","1**","다가구","8m미만","458.63","230.00","202506","17","182,000","개인","기타","1997","불정로65번길","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구"
"48","경기도 성남시 분당구 운중동","1***","단독","12m미만","248.88","254.80","202506","12","220,000","개인","개인","2012","운중로197번길","-","중개거래","경기 성남시 분당구"
"49","경기도 성남시 분당구 이매동","2**","단독","8m미만","46.87","238.00","202506","11","95,000","개인","개인","2022","이매로89번길","-","중개거래","경기 성남시 분당구"
"50","경기도 성남시 분당구 운중동","1***","단독","12m미만","207.17","231.70","202506","06","280,000","개인","개인","2012","","-","중개거래","경기 성남시 분당구"
"51","경기도 성남시 분당구 야탑동","3**","다가구","25m미만","443.18","231.30","202506","05","160,000","개인","개인","1996","벌말로39번길","-","중개거래","경기 성남시 분당구"
"52","경기도 성남시 분당구 수내동","1**","다가구","8m미만","418.40","215.70","202506","05","148,000","개인","개인","1996","발이봉북로24번길","-","중개거래","경기 성남시 분당구"
"53","경기도 성남시 분당구 분당동","1**","다가구","8m미만","417.08","220.50","202506","02","150,000","개인","개인","1998","서현로429번길","-","중개거래","경기 성남시 분당구"
"54","경기도 성남시 분당구 분당동","1**","다가구","12m미만","449.52","225.90","202505","30","139,500","개인","개인","1995","서현로429번길","-","중개거래","경기 성남시 분당구"
"55","경기도 성남시 분당구 운중동","1***","단독","25m미만","272.29","230.20","202505","21","285,000","개인","개인","2015","운중로166번길","-","중개거래","경기 성남시 분당구"
"56","경기도 성남시 분당구 수내동","9*","단독","8m미만","393.26","197.80","202505","16","136,000","개인","개인","1994","발이봉로11번길","-","중개거래","경기 성남시 분당구"
"57","경기도 성남시 분당구 분당동","1**","단독","8m미만","325.92","218.00","202505","12","179,000","개인","개인","1997","서현로429번길","-","중개거래","경기 성남시 분당구"
"58","경기도 성남시 분당구 구미동","3*","다가구","12m미만","559.20","280.20","202505","12","232,800","개인","개인","1999","미금일로74번길","-","중개거래","경기 성남시 분당구"
"59","경기도 성남시 분당구 정자동","6*","다가구","25m미만","442.00","226.80","202505","10","270,000","개인","개인","2000","느티로63번길","-","중개거래","경기 성남시 분당구, 경기 수원시 영통구"
"60","경기도 성남시 분당구 정자동","4*","단독","8m미만","458.88","230.50","202505","08","200,000","개인","개인","2002","백현로144번길","-","중개거래","경기 성남시 분당구"
"61","경기도 성남시 분당구 운중동","1***","다가구","12m미만","385.09","270.80","202505","07","320,000","개인","개인","2010","운중로146번길","-","중개거래","경기 성남시 분당구"
"62","경기도 성남시 분당구 판교동","5**","단독","25m미만","287.54","228.40","202505","07","260,000","개인","개인","2011","서판교로44번길","-","중개거래","경기 성남시 분당구"
"63","경기도 성남시 분당구 판교동","4**","단독","25m미만","228.18","229.50","202505","06","230,000","개인","개인","2011","판교로209번길","-","직거래","-"
"64","경기도 성남시 분당구 판교동","5**","단독","12m미만","293.54","224.10","202505","01","282,000","개인","개인","2015","판교로210번길","-","중개거래","경기 성남시 분당구"
"65","경기도 성남시 분당구 이매동","*","단독","8m미만","162.66","255.00","202504","26","154,000","개인","개인","2002","","-","중개거래","경기 성남시 분당구"
"66","경기도 성남시 분당구 운중동","9**","단독","12m미만","235.65","231.40","202504","19","265,000","개인","개인","2012","산운로139번길","-","중개거래","경기 성남시 분당구, 서울 마포구"
"67","경기도 성남시 분당구 운중동","9**","다가구","12m미만","408.36","300.50","202504","17","355,000","개인","개인","2010","운중로138번길","-","중개거래","경기 성남시 분당구"
"68","경기도 성남시 분당구 정자동","1**","단독","25m미만","435.12","231.00","202504","15","213,000","개인","개인","1994","내정로17번길","-","중개거래","경기 성남시 분당구"
"69","경기도 성남시 분당구 이매동","8*","단독","12m미만","978.98","749.00","202504","04","530,000","개인","개인","2010","방아로","-","중개거래","서울 강남구"
"70","경기도 성남시 분당구 야탑동","3**","다가구","8m미만","595.24","303.60","202503","28","235,000","개인","개인","2001","야탑로153번길","-","중개거래","경기 성남시 분당구"
"71","경기도 성남시 분당구 백현동","5**","다가구","12m미만","343.95","254.10","202503","20","255,000","개인","개인","2018","동판교로52번길","-","중개거래","경기 성남시 분당구"
"72","경기도 성남시 분당구 판교동","6**","단독","12m미만","320.50","230.90","202503","15","294,500","개인","개인","2014","판교원로286번길","-","중개거래","경기 성남시 분당구"
"73","경기도 성남시 분당구 판교동","5**","단독","25m미만","300.06","261.10","202503","10","330,000","개인","개인","2015","서판교로100번길","-","중개거래","경기 성남시 분당구"
"74","경기도 성남시 분당구 판교동","4**","단독","25m미만","206.41","233.20","202503","07","215,000","개인","개인","2010","판교로209번길","-","중개거래","경기 성남시 분당구"
"75","경기도 성남시 분당구 이매동","5*","단독","8m미만","327.46","399.31","202503","04","331,500","개인","법인","2023","방아로","-","직거래","-"
"76","경기도 성남시 분당구 서현동","3**","다가구","12m미만","408.16","219.00","202503","02","134,000","개인","개인","1996","불정로432번길","20250311","중개거래","경기 성남시 분당구"
"77","경기도 성남시 분당구 서현동","3**","다가구","12m미만","408.16","219.00","202503","02","133,000","개인","개인","1996","불정로432번길","-","중개거래","경기 성남시 분당구"
"78","경기도 성남시 분당구 정자동","4*","다가구","8m미만","455.04","233.30","202502","14","215,000","개인","개인","1996","내정로119번길","-","중개거래","경기 성남시 분당구"
"79","경기도 성남시 분당구 운중동","8**","단독","25m미만","323.76","230.50","202502","14","315,000","개인","개인","2017","산운로","-","중개거래","경기 성남시 분당구"
"80","경기도 성남시 분당구 운중동","8**","단독","12m미만","205.58","224.10","202502","13","219,000","개인","개인","2015","산운로32번길","-","중개거래","경기 성남시 분당구"
"81","경기도 성남시 분당구 분당동","1**","다가구","8m미만","374.23","192.40","202502","12","130,000","개인","개인","1996","장안로56번길","-","중개거래","경기 성남시 분당구"
"82","경기도 성남시 분당구 판교동","6**","단독","12m미만","241.91","224.90","202502","06","219,500","개인","개인","2010","판교원로311번길","-","중개거래","경기 성남시 분당구"
"83","경기도 성남시 분당구 수내동","1**","다가구","8m미만","429.12","215.60","202501","30","165,000","개인","개인","1996","발이봉로15번길","-","직거래","-"
"84","경기도 성남시 분당구 운중동","9**","단독","8m미만","397.60","330.00","202501","22","560,000","개인","개인","2012","산운로","20250313","중개거래","서울 강남구"
"85","경기도 성남시 분당구 운중동","9**","단독","8m미만","397.60","445.22","202501","22","560,000","개인","개인","2012","산운로","20250410","중개거래","서울 강남구"
"86","경기도 성남시 분당구 운중동","1***","단독","12m미만","297.97","268.50","202501","21","339,000","개인","개인","2010","판교원로153번길","-","중개거래","경기 성남시 분당구"
"87","경기도 성남시 분당구 운중동","9**","단독","8m미만","397.60","330.00","202501","16","515,000","개인","개인","2012","산운로","-","중개거래","서울 강남구"
"88","경기도 성남시 분당구 야탑동","3**","다가구","12m미만","438.00","231.20","202501","13","145,000","개인","개인","1994","매화로55번길","-","중개거래","경기 성남시 분당구"
