계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
201707,7375,10,2090,1**,집합,탄천상로151번길,근린상업,제2종근린생활,25m이상,458.0000,0.0000,94487.0000,,지분,2000,-,,경기도 성남시분당구 구미동,4113511400
201707,7376,12,2090,1**,집합,성남대로,일반상업,제1종근린생활,25m이상,770.0000,0.0000,150000.0000,4,,1997,-,,경기도 성남시분당구 구미동,4113511400
201707,7377,20,2090,1**,집합,성남대로2번길,일반상업,업무,25m이상,101.0000,0.0000,29500.0000,6,,1999,-,,경기도 성남시분당구 구미동,4113511400
201707,7378,26,2090,2**,집합,구미로,제3종일반주거,제1종근린생활,25m이상,23.0000,0.0000,15300.0000,1,,1995,-,,경기도 성남시분당구 구미동,4113511400
201707,7379,28,2090,1**,집합,탄천상로151번길,근린상업,판매,25m이상,1011.0000,0.0000,980000.0000,,,2000,-,,경기도 성남시분당구 구미동,4113511400
201707,7380,17,3000,9**,집합,판교원로,제3종일반주거,제2종근린생활,25m미만,38.0000,0.0000,42000.0000,1,,2009,-,,경기도 성남시분당구 운중동,4113511500
201707,7381,21,3000,9**,집합,운중로,근린상업,교육연구,25m이상,101.0000,0.0000,45500.0000,10,,2010,-,,경기도 성남시분당구 운중동,4113511500
201707,7382,24,3000,9**,집합,운중로,근린상업,제1종근린생활,25m이상,54.0000,0.0000,23000.0000,8,,2011,-,,경기도 성남시분당구 운중동,4113511500
201707,7383,13,3000,9**,집합,운중로,근린상업,제1종근린생활,25m이상,111.0000,0.0000,80500.0000,3,,2010,-,,경기도 성남시분당구 운중동,4113511500
201707,7384,10,3000,1***,일반,운중로,준주거,제1종근린생활,25m이상,2598.0000,681.0000,760000.0000,,,2013,-,,경기도 성남시분당구 운중동,4113511500
201708,7113,24,2083,3*,집합,수내로,제3종일반주거,제1종근린생활,25m이상,13.0000,0.0000,5000.0000,1,,1994,-,,경기도 성남시분당구 분당동,4113510100
201708,7114,24,2084,3*,집합,내정로173번길,근린상업,제1종근린생활,25m미만,23.0000,0.0000,8000.0000,,,1996,-,,경기도 성남시분당구 수내동,4113510200
201708,7115,22,2084,1*,집합,황새울로200번길,중심상업,업무,25m미만,68.0000,0.0000,32000.0000,8,,2004,-,,경기도 성남시분당구 수내동,4113510200
201708,7116,16,2084,3*,집합,내정로165번길,준주거,제2종근린생활,25m미만,29.0000,0.0000,15500.0000,,,1992,-,,경기도 성남시분당구 수내동,4113510200
201708,7117,15,2084,2*,집합,황새울로214번길,중심상업,제2종근린생활,25m이상,51.0000,0.0000,90000.0000,1,,1996,-,,경기도 성남시분당구 수내동,4113510200
