관리_건축물대장_PK,대지_면적,연면적,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치,시군구명,번지
10891123481,0.0,167.46,단독주택,주택,경기도 성남시 분당구 서현동 221-2번지,경기도 성남시 분당구 새마을로7번길 11 (서현동),경기도 성남시 분당구 서현동,2**
10891123482,660.0,261.33,제1종근린생활시설,제1종근린생활시설(파출소),경기도 성남시 분당구 수내동 85번지,경기도 성남시 분당구 불정로 253 (수내동),경기도 성남시 분당구 수내동,8*
10891123483,229.9,453.56,단독주택,다가구주택및 근린생활시설,경기도 성남시 분당구 정자동 86-3번지,경기도 성남시 분당구 느티로51번길 4-4 (정자동),경기도 성남시 분당구 정자동,8*
10891123484,806.0,1850.13,단독주택,다가구주택(5가구) 및 제2종근린생활시설,경기도 성남시 분당구 서현동 83-2번지,경기도 성남시 분당구 새마을로1번길 9 (서현동),경기도 성남시 분당구 서현동,8*
10891123485,222.7,416.04,단독주택,다가구용단독주택,경기도 성남시 분당구 서현동 338-6번지,경기도 성남시 분당구 불정로432번길 9 (서현동),경기도 성남시 분당구 서현동,3**
10891123486,231.0,435.92,단독주택,주택,경기도 성남시 분당구 야탑동 313-4번지,경기도 성남시 분당구 야탑로153번길 4-12 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123487,203.3,391.98,단독주택,다가구주택,경기도 성남시 분당구 정자동 232-2번지,경기도 성남시 분당구 불곡남로25번길 8 (정자동),경기도 성남시 분당구 정자동,2**
10891123488,999.8,2815.86,자동차관련시설,자동차관련시설(주차장) 및 근린생활시설,경기도 성남시 분당구 정자동 60번지,경기도 성남시 분당구 내정로107번길 2 (정자동),경기도 성남시 분당구 정자동,6*
10891123489,0.0,163.07,단독주택,주택및보일러실,경기도 성남시 분당구 석운동 126번지,경기도 성남시 분당구 고기로 693 (석운동),경기도 성남시 분당구 석운동,1**
10891123490,196.0,373.68,단독주택,다가구용 단독주택(3가구),경기도 성남시 분당구 정자동 248-5번지,경기도 성남시 분당구 불곡북로31번길 4 (정자동),경기도 성남시 분당구 정자동,2**
10891123491,225.9,393.81,단독주택,근생및주택(3가구),경기도 성남시 분당구 정자동 37-12번지,경기도 성남시 분당구 내정로119번길 31-7 (정자동),경기도 성남시 분당구 정자동,3*
10891123492,193.9,383.49,단독주택,다가구주택,경기도 성남시 분당구 분당동 153-12번지,경기도 성남시 분당구 분당로327번길 10-5 (분당동),경기도 성남시 분당구 분당동,1**
10891123493,691.0,96.0,제1종근린생활시설,제1종근린생활시설,경기도 성남시 분당구 석운동 79-17번지,경기도 성남시 분당구 석운로 50 (석운동),경기도 성남시 분당구 석운동,7*
10891123494,595.0,594.2,공동주택,다세대주택(10세대),경기도 성남시 분당구 이매동 293-1번지,경기도 성남시 분당구 이매로123번길 10 (이매동),경기도 성남시 분당구 이매동,2**
10891123495,226.02,424.35,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 정자동 30-4번지,경기도 성남시 분당구 내정로129번길 36 (정자동),경기도 성남시 분당구 정자동,3*
10891123497,192.4,374.34,단독주택,다가구용주택,경기도 성남시 분당구 정자동 221-8번지,경기도 성남시 분당구 불곡로7번길 5 (정자동),경기도 성남시 분당구 정자동,2**
10891123498,0.0,0.0,제1종근린생활시설,제1종근린생활시설(소매점),경기도 성남시 분당구 석운동 60-43번지,경기도 성남시 분당구 석운로143번길 9 (석운동),경기도 성남시 분당구 석운동,6*
10891123499,741.0,723.75,제1종근린생활시설,"단독주택, 제1종근린생활시설",경기도 성남시 분당구 야탑동 597번지,경기도 성남시 분당구 판교로562번길 2 (야탑동),경기도 성남시 분당구 야탑동,5**
10891123500,23039.9,3738.04,문화및집회시설,문화및집회시설,경기도 성남시 분당구 구미동 295번지,경기도 성남시 분당구 구미로185번길 30 (구미동),경기도 성남시 분당구 구미동,2**
10891123501,758.5,5770.14,업무시설,업무시설,경기도 성남시 분당구 야탑동 513-2번지,경기도 성남시 분당구 야탑로 96-8 (야탑동),경기도 성남시 분당구 야탑동,5**
10891123502,226.6,451.72,단독주택,근생및단독주택(3가구용),경기도 성남시 분당구 정자동 69-3번지,경기도 성남시 분당구 황새울로116번길 18-1 (정자동),경기도 성남시 분당구 정자동,6*
10891123503,230.9,450.0,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 정자동 73-1번지,경기도 성남시 분당구 느티로69번길 23 (정자동),경기도 성남시 분당구 정자동,7*
10891123504,265.7,491.67,단독주택,주택및근린생활시설,경기도 성남시 분당구 야탑동 338-7번지,경기도 성남시 분당구 양현로 451-1 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123505,229.0,452.16,단독주택,다가구주택 및 근린생활시설,경기도 성남시 분당구 야탑동 316-10번지,경기도 성남시 분당구 야탑로153번길 6 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123506,492.0,390.15,제2종근린생활시설,제2종근린생활시설,경기도 성남시 분당구 동원동 62-3번지,경기도 성남시 분당구 동원로21번길 9 (동원동),경기도 성남시 분당구 동원동,6*
10891123509,252.0,463.68,단독주택,다가구주택및 근린생활시설,경기도 성남시 분당구 정자동 138-2번지,경기도 성남시 분당구 불정로87번길 4 (정자동),경기도 성남시 분당구 정자동,1**
10891123510,335.3,659.42,단독주택,단독주택(15가구),경기도 성남시 분당구 분당동 171-1번지,경기도 성남시 분당구 분당로311번길 2 (분당동),경기도 성남시 분당구 분당동,1**
10891123511,231.0,456.64,단독주택,다가구주택 및 근린생활시설,경기도 성남시 분당구 야탑동 312-4번지,경기도 성남시 분당구 야탑로161번길 4-12 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123512,410.5,237.21,단독주택,단독주택(1가구),경기도 성남시 분당구 구미동 260-1번지,경기도 성남시 분당구 구미로144번길 58-6 (구미동),경기도 성남시 분당구 구미동,2**
10891123513,231.1,453.94,단독주택,단독주택(11가구),경기도 성남시 분당구 야탑동 285-4번지,경기도 성남시 분당구 매화로56번길 20-1 (야탑동),경기도 성남시 분당구 야탑동,2**
10891123514,583.0,440.52,제2종근린생활시설,제2종근린생활시설,경기도 성남시 분당구 서현동 136-9번지,경기도 성남시 분당구 새마을로51번길 5 (서현동),경기도 성남시 분당구 서현동,1**
10891123515,222.6,430.72,제1종근린생활시설,근린생활시설및 다가구주택(3가구),경기도 성남시 분당구 정자동 140-3번지,경기도 성남시 분당구 불정로65번길 4-4 (정자동),경기도 성남시 분당구 정자동,1**
