"계약년월","번호","주택유형","시군구명","번지","도로명","대지면적","연면적","거래금액","건축물대장_PK","건물_도로명_주소","건물_대지_주소","건물_주용도","건물_기타용도","건물_대지면적","건물_연면적","번지매핑건수","도로매핑건수","용도매핑건수","면적매핑건수","매매별일련번호"
"201703",5385,단독,경기도 성남시 분당구 분당동,"1**",분당로359번길,436.0000,428.0000,200000.0000,"10891124633",경기도 성남시 분당구 분당로359번길 2-8 (분당동),경기도 성남시 분당구 분당동 134-3번지,단독주택,다가구주택,281.6,562.28,573,10,7,7,2
"201703",5385,단독,경기도 성남시 분당구 분당동,"1**",분당로359번길,436.0000,428.0000,200000.0000,"10891125210",경기도 성남시 분당구 분당로359번길 2-6 (분당동),경기도 성남시 분당구 분당동 134-4번지,단독주택,다가구용단독주택3가구용,206.5,410.28,573,10,7,7,3
"201703",5385,단독,경기도 성남시 분당구 분당동,"1**",분당로359번길,436.0000,428.0000,200000.0000,"10891125472",경기도 성남시 분당구 분당로359번길 2-10 (분당동),경기도 성남시 분당구 분당동 134-1번지,단독주택,다가구주택,218.5,435.64,573,10,7,7,4
"201703",5385,단독,경기도 성남시 분당구 분당동,"1**",분당로359번길,436.0000,428.0000,200000.0000,"10891126130",경기도 성남시 분당구 분당로359번길 2-1 (분당동),경기도 성남시 분당구 분당동 136-8번지,단독주택,"다가구주택, 제2종근린생활시설",289.9,360.13,573,10,7,7,5
"201703",5385,단독,경기도 성남시 분당구 분당동,"1**",분당로359번길,436.0000,428.0000,200000.0000,"10891126511",경기도 성남시 분당구 분당로359번길 2-7 (분당동),경기도 성남시 분당구 분당동 135-2번지,단독주택,다가구주택및근린생활시설,227.2,417.16,573,10,7,7,6
"201703",5385,단독,경기도 성남시 분당구 분당동,"1**",분당로359번길,436.0000,428.0000,200000.0000,"10891100303387",경기도 성남시 분당구 분당로359번길 2-4 (분당동),경기도 성남시 분당구 분당동 134-5번지,단독주택,단독주택(다가구주택),436.2,867.88,573,10,7,7,7
"201703",5386,단독,경기도 성남시 분당구 분당동,"1**",서현로494번길,203.0000,282.0000,109100.0000,"10891123014",경기도 성남시 분당구 서현로494번길 8-2 (분당동),경기도 성남시 분당구 분당동 129-7번지,단독주택,다가구주택,202.9,282.18,573,37,37,1,1
"201703",5387,다가구,경기도 성남시 분당구 수내동,"1**",발이봉남로35번길,198.0000,384.0000,128000.0000,"10891123424",경기도 성남시 분당구 발이봉남로35번길 10-1 (수내동),경기도 성남시 분당구 수내동 108-8번지,단독주택,다가구주택,197.7,384.44,246,16,16,1,1
"201703",5388,다가구,경기도 성남시 분당구 수내동,"1**",발이봉남로31번길,206.0000,296.0000,96000.0000,"10891122438",경기도 성남시 분당구 발이봉남로31번길 6-1 (수내동),경기도 성남시 분당구 수내동 107-5번지,단독주택,근린생활시설및주택,206.3,296.4,246,9,9,1,1
"201703",5389,다가구,경기도 성남시 분당구 정자동,"2**",불곡북로,189.0000,327.0000,145000.0000,"10891126803",경기도 성남시 분당구 불곡북로 8 (정자동),경기도 성남시 분당구 정자동 221-9번지,단독주택,다가구주택및근린생활시설,189.1,326.6,384,99,99,1,1
"201703",5390,다가구,경기도 성남시 분당구 정자동,"2**",불곡남로4번길,199.0000,392.0000,138000.0000,"10891125975",경기도 성남시 분당구 불곡남로4번길 7 (정자동),경기도 성남시 분당구 정자동 227-10번지,단독주택,다가구용단독주택,198.6,391.74,384,12,12,1,1
"201703",5391,다가구,경기도 성남시 분당구 정자동,"5*",내정로113번길,209.0000,344.0000,149500.0000,"10891123185",경기도 성남시 분당구 내정로113번길 11 (정자동),경기도 성남시 분당구 정자동 57-12번지,단독주택,다가구주택 및 근린생활시설,209.2,343.56,79,23,22,1,1
"201703",5392,다가구,경기도 성남시 분당구 정자동,"2**",불곡로25번길,208.0000,415.0000,129200.0000,"10891124785",경기도 성남시 분당구 불곡로25번길 3 (정자동),경기도 성남시 분당구 정자동 237-11번지,단독주택,단독주택(다가구),208.3,415.76,384,9,9,3,1
"201703",5392,다가구,경기도 성남시 분당구 정자동,"2**",불곡로25번길,208.0000,415.0000,129200.0000,"10891124102",경기도 성남시 분당구 불곡로25번길 3-1 (정자동),경기도 성남시 분당구 정자동 237-12번지,단독주택,다가구 주택,208.2,415.08,384,9,9,3,2
"201703",5392,다가구,경기도 성남시 분당구 정자동,"2**",불곡로25번길,208.0000,415.0000,129200.0000,"10891126070",경기도 성남시 분당구 불곡로25번길 5-1 (정자동),경기도 성남시 분당구 정자동 237-14번지,단독주택,다가구주택(7가구),208.2,415.52,384,9,9,3,3
"201703",5393,다가구,경기도 성남시 분당구 정자동,"4*",백현로150번길,207.0000,388.0000,127000.0000,"10891125000",경기도 성남시 분당구 백현로150번길 7-4 (정자동),경기도 성남시 분당구 정자동 44-5번지,단독주택,다가구주택 및 근린생활시설,206.5,387.79,102,21,21,1,1
"201703",5394,다가구,경기도 성남시 분당구 서현동,"8*",서현로239번길,231.0000,452.0000,113700.0000,"10891124994",경기도 성남시 분당구 서현로239번길 3-3 (서현동),경기도 성남시 분당구 서현동 82-18번지,단독주택,다가구주택및근린생활시설,231.0,452.08,111,8,7,1,1
"201703",5395,단독,경기도 성남시 분당구 서현동,"1**",새마을로51번길,539.0000,110.0000,152000.0000,"10891124135",경기도 성남시 분당구 새마을로51번길 9-4 (서현동),경기도 성남시 분당구 서현동 139-2번지,단독주택,주택,0.0,109.65,108,18,3,3,1
