계약년월,거래구분,번호,계약일,시군구일련번호,번지,주택유형,도로조건,연면적_x,대지면적,거래금액,월세,건축년도,도로명,해제사유발생일,거래유형,시군구명,법정동코드,실거래ID,관리_건축물대장_PK,대지_면적,연면적_y,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100234217,231.7,315.36,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 985-5번지,경기도 성남시 분당구 산운로151번길 7-2 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100235030,228.6,320.81,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 983-3번지,경기도 성남시 분당구 산운로151번길 6 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233370,340.6,311.71,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-32번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233359,371.0,359.31,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-22번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233368,361.8,432.08,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-30번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233350,411.2,430.76,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-13번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233352,432.1,439.12,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-15번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233353,406.9,332.87,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-16번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233354,405.7,433.59,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-17번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233355,431.7,329.65,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-18번지,경기도 성남시 분당구 산운로 199 (운중동)
